BHID;X;Y;Z;Rec.Massica_F14;Alumina_F14;Alumina_F14acc
1;3566.84;15552.05;89.75;64.44;53.76;3464.2944
1;3566.84;15552.05;89.25;52.98;57.73;3058.5354
1;3566.84;15552.05;88.74;49.73;47.38;2356.2074
1;3566.84;15552.05;88.32;20.07;54.46;1093.0122
2;3577.64;15352.67;89.75;79.28;56.18;4453.9504
2;3577.64;15352.67;89.34;50.39;56.4;2841.996
2;3577.64;15352.67;88.75;57.65;56.72;3269.908
3;3363;15344.55;89.75;69.26;49.48;3426.9848
3;3363;15344.55;89.31;61.22;54.8;3354.856
4;2987.38;15095.26;89.75;55.84;47.18;2634.5312
4;2987.38;15095.26;89.34;35.57;57.76;2054.5232
4;2987.38;15095.26;88.84;56.58;50.65;2865.777
4;2987.38;15095.26;88.32;44.68;55.62;2485.1016
4;2987.38;15095.26;87.88;42.29;47.65;2015.1185
4;2987.38;15095.26;87.57;51.65;52.35;2703.8775
5;3182.43;15136.29;89.75;63.32;51.05;3232.486
5;3182.43;15136.29;89.34;37.07;57.69;2138.5683
5;3182.43;15136.29;88.84;46.41;59.04;2740.0464
5;3182.43;15136.29;88.34;48.99;56.84;2784.5916
5;3182.43;15136.29;87.84;34.65;58.02;2010.393
5;3182.43;15136.29;87.34;40.72;44.82;1825.0704
5;3182.43;15136.29;86.84;52;55.35;2878.2
5;3182.43;15136.29;86.41;39.43;56.75;2237.6525
6;3384;15180.48;89.75;73.91;49.82;3682.1962
6;3384;15180.48;89.34;61.46;52.76;3242.6296
6;3384;15180.48;88.84;65.47;57.33;3753.3951
6;3384;15180.48;88.34;47.18;58.31;2751.0658
6;3384;15180.48;87.84;59.43;54.57;3243.0951
6;3384;15180.48;87.34;56.34;54.6;3076.164
6;3384;15180.48;86.84;56.71;56.93;3228.5003
6;3384;15180.48;86.43;66.1;42.44;2805.284
6;3384;15180.48;86.11;57.68;55.74;3215.0832
7;3572.77;15215.58;89.75;76.58;49.77;3811.3866
7;3572.77;15215.58;89.34;59.12;57.99;3428.3688
7;3572.77;15215.58;88.91;41.65;59.49;2477.7585
7;3572.77;15215.58;88.56;39.14;53.71;2102.2094
8;3971.81;14943.56;89.75;80.72;53.23;4296.7256
8;3971.81;14943.56;89.34;67.08;56.6;3796.728
8;3971.81;14943.56;88.78;59.89;56.19;3365.2191
8;3971.81;14943.56;88.3;32.46;45.86;1488.6156
8;3971.81;14943.56;87.99;12.22;54.63;667.5786
8;3971.81;14943.56;87.59;12.88;57.36;738.7968
9;3781.32;14944.1;89.75;79.94;53.34;4263.9996
9;3781.32;14944.1;89.34;72.27;52.5;3794.175
9;3781.32;14944.1;88.84;70.54;56.85;4010.199
9;3781.32;14944.1;88.34;68.75;56.75;3901.5625
9;3781.32;14944.1;87.84;60.13;55.04;3309.5552
9;3781.32;14944.1;87.34;66.06;56.33;3721.1598
9;3781.32;14944.1;86.84;72.9;57.98;4226.742
9;3781.32;14944.1;86.34;71.28;55.26;3938.9328
9;3781.32;14944.1;85.84;67.66;58.89;3984.4974
9;3781.32;14944.1;85.34;72.59;59.39;4311.1201
9;3781.32;14944.1;84.94;73.23;59.66;4368.9018
9;3781.32;14944.1;84.63;58.18;58.35;3394.803
10;3577.53;14953.36;89.75;77.45;52.94;4100.203
10;3577.53;14953.36;89.34;55.84;57.66;3219.7344
10;3577.53;14953.36;88.84;53.11;56.24;2986.9064
10;3577.53;14953.36;88.34;56.01;57.05;3195.3705
10;3577.53;14953.36;87.84;69.68;55.97;3899.9896
10;3577.53;14953.36;87.34;68.23;58.26;3975.0798
10;3577.53;14953.36;86.84;71.07;50.15;3564.1605
10;3577.53;14953.36;86.33;58.19;55.43;3225.4717
11;3375.13;14955.16;89.75;48.93;56.35;2757.2055
11;3375.13;14955.16;89.25;41.58;57.42;2387.5236
11;3375.13;14955.16;88.75;25.86;53.87;1393.0782
11;3375.13;14955.16;88.25;36.5;55.65;2031.225
11;3375.13;14955.16;87.75;32.38;53.29;1725.5302
11;3375.13;14955.16;87.25;24.16;54.71;1321.7936
11;3375.13;14955.16;86.85;45.28;56.63;2564.2064
12;3176.3;14948.38;89.75;49.69;53.47;2656.9243
12;3176.3;14948.38;89.34;65.67;56.58;3715.6086
12;3176.3;14948.38;88.84;57.71;58.03;3348.9113
12;3176.3;14948.38;88.34;61.43;56.34;3460.9662
12;3176.3;14948.38;87.84;69.34;53.78;3729.1052
12;3176.3;14948.38;87.2;60.34;51.12;3084.5808
12;3176.3;14948.38;86.66;53.01;44.02;2333.5002
12;3176.3;14948.38;86.35;33.48;56.39;1887.9372
13;2973.65;14946.25;89.75;89.12;54.19;4829.4128
13;2973.65;14946.25;89.34;77.19;58.9;4546.491
13;2973.65;14946.25;88.84;63.63;57.22;3640.9086
13;2973.65;14946.25;88.34;48.59;55.63;2703.0617
13;2973.65;14946.25;87.84;37.17;58.14;2161.0638
13;2973.65;14946.25;87.44;54.52;53.96;2941.8992
13;2973.65;14946.25;87.13;45.38;41.08;1864.2104
13;2973.65;14946.25;86.82;23.84;52.37;1248.5008
