cod;cod2;cod3;X;Y;Z;Cu;length_of_core
1;BHL01;1;220;625;122;1.34;5
2;BHL01;1;220;625;117;0.98;5
3;BHL01;1;220;625;112;1.29;5
4;BHL01;1;220;625;107;1.18;5
5;BHL01;1;220;625;102;1.1;5
6;BHL01;1;220;625;97;0.46;5
7;BHL01;1;220;625;92;1.18;5
8;BHL01;1;220;625;87;0.96;5
9;BHL01;1;220;625;82;1.27;5
10;BHL02;1;270;625;122;0.64;5
11;BHL02;1;270;625;117;1.06;5
12;BHL02;1;270;625;112;0.81;5
13;BHL02;1;270;625;107;1.15;5
14;BHL02;1;270;625;102;0.75;5
15;BHL02;1;270;625;97;0.49;5
16;BHL02;1;270;625;92;0.85;5
17;BHL02;1;270;625;87;1.24;5
18;BHL02;1;270;625;82;2.13;5
19;BHL04;1;370;620;122;1.33;5
20;BHL04;1;370;620;117;1.28;5
21;BHL04;1;370;620;112;0.83;5
22;BHL04;1;370;620;107;0.64;5
23;BHL04;1;370;620;102;0.85;5
24;BHL04;1;370;620;97;0.56;5
25;BHL04;1;370;620;92;1.15;5
26;BHL04;1;370;620;87;1;5
27;BHL04;1;370;620;82;0.97;5
28;BHL06;1;460;620;122;0.92;5
29;BHL06;1;460;620;117;0.72;5
30;BHL06;1;460;620;112;1;5
31;BHL06;1;460;620;107;0.55;5
32;BHL06;1;460;620;102;-99;5
33;BHL06;1;460;620;97;0.49;5
34;BHL06;1;460;620;92;0.64;5
35;BHL06;1;460;620;87;0.81;5
36;BHL06;1;460;620;82;0.7;5
37;BHL08;1;565;620;122;0.87;5
38;BHL08;1;565;620;117;1.4;5
39;BHL08;1;565;620;112;0.74;5
40;BHL08;1;565;620;107;0.89;5
41;BHL08;1;565;620;102;0.43;5
42;BHL08;1;565;620;97;0.4;5
43;BHL08;1;565;620;92;0.54;5
44;BHL08;1;565;620;87;0.54;5
45;BHL08;1;565;620;82;0.89;5
54;BHL10;1;655;620;122;1.74;5
55;BHL10;1;655;620;117;1.17;5
56;BHL10;1;655;620;112;1.02;5
57;BHL10;1;655;620;107;0.75;5
58;BHL10;1;655;620;102;0.81;5
59;BHL10;1;655;620;97;0.64;5
60;BHL10;1;655;620;92;0.66;5
61;BHL10;1;655;620;87;1.14;5
62;BHL10;1;655;620;82;0.71;5
67;BHL12;1;220;575;122;1.13;5
68;BHL12;1;220;575;117;1.58;5
69;BHL12;1;220;575;112;1.32;5
70;BHL12;1;220;575;107;2.06;5
71;BHL12;1;220;575;102;0.9;5
72;BHL12;1;220;575;97;0.61;5
73;BHL12;1;220;575;92;0.7;5
74;BHL12;1;220;575;87;1.17;5
75;BHL12;1;220;575;82;1.54;5
