X;Y;Z;Au
402201.281;93834.422;999.5;0.98
402201.281;93834.422;998.5;1.8
402201.281;93834.422;997.5;4.76
402201.281;93834.422;996.7;3.19
402230.313;93734.719;999.5;1.21
402230.313;93734.719;998.5;1.7
402230.313;93734.719;997.45;1.07
402219.406;93734.039;999.5;0.73
402219.406;93734.039;998.5;5.23
402219.406;93734.039;997.4;2.21
402214.594;93628.391;999.5;0.46
402214.594;93628.391;998.5;1.61
402214.594;93628.391;997.5;0.62
402214.594;93628.391;996.5;0.52
402214.594;93628.391;995.6;0.73
402207.594;93638.43;999.5;0.4
402207.594;93638.43;998.5;0.24
402207.594;93638.43;997.7;1.13
402178;93858.227;999.5;0.29
402178;93858.227;998.5;0.93
402178;93858.227;997.5;1.23
402166.313;93854.328;999.5;0.71
402166.313;93854.328;998.5;1.68
402199.281;93566.477;999.5;0.41
402199.281;93566.477;998.5;1.25
402212.594;93546.578;998.5;0.36
402213.906;93632.758;999.5;0.46
402213.906;93632.758;998.5;0.9
402213.906;93632.758;997.5;0.66
402213.906;93632.758;996.5;0.89
402213.906;93632.758;995.5;0.55
402217.188;93621.102;999.5;0.23
402217.188;93621.102;998.5;0.42
402217.188;93621.102;997.5;0.6
402217.188;93621.102;996.5;0.66
402217.188;93621.102;995.75;0.34
402110.313;94079.117;999.5;0.7
402110.313;94079.117;998.5;0.91
402123.531;94056.508;999.5;0.81
402123.531;94056.508;998.4;0.94
402147.688;94038.656;999.5;0.4
402147.688;94038.656;998.4;0.51
402161.906;94033.797;999.5;0.42
402161.906;94033.797;998.4;0.48
402171.688;94032.344;999.5;0.55
402171.688;94032.344;998.5;0.79
402171.688;94032.344;997.65;0.4
402189.813;94031.313;999.5;0.65
402189.813;94031.313;998.5;0.59
402189.813;94031.313;997.5;0.99
402189.813;94031.313;996.65;0.64
402205.188;94424.453;999.5;0.55
402205.188;94424.453;998.6;4
402069.75;93876.141;999.956;0.5
402070.75;93875.906;999.869;0.85
402071.688;93875.688;999.782;0.61
402072.688;93875.453;999.695;0.5
402073.656;93875.234;999.608;0.63
402070.313;93877.102;999.5;0.5
402070.313;93877.102;998.5;2
402070.313;93877.102;997.5;1.6
402227.531;93787.109;999.5;0.32
402227.531;93787.109;998.6;0.59
402240.313;93797.273;999.5;0.45
402240.313;93797.273;998.425;0.23
402276.188;93799.242;999.5;0.3
402276.188;93799.242;998.65;0.28
402287.406;93797.156;997.5;0.76
402287.406;93797.156;996.75;1.75
402295;93801.141;998.9;0.61
402312.594;93794.961;998.5;0.4
402312.594;93794.961;997.4;1.17
402321.594;93792.172;998.5;0.38
402321.594;93792.172;997.5;0.5
402321.594;93792.172;996.6;0.68
402328.313;93792.453;997.35;0.32
402225.906;93857.117;999.5;0.21
402225.906;93857.117;998.5;0.41
402225.906;93857.117;997.45;0.71
402235.531;93859.883;999.5;0.26
402235.531;93859.883;998.5;0.34
402235.531;93859.883;997.5;0.98
402235.531;93859.883;996.7;1.65
402240.406;93862.227;999.5;1.18
402240.406;93862.227;998.5;1.01
402240.406;93862.227;997.7;0.79
402258.406;93861.328;999.5;0.25
402258.406;93861.328;998.5;0.27
402258.406;93861.328;997.5;0.37
402268.313;93858.883;998.5;0.6
402268.313;93858.883;997.5;2.07
402268.313;93858.883;996.75;1.14
402277.281;93859.008;999.5;0.27
402277.281;93859.008;998.5;0.41
402277.281;93859.008;997.7;1.11
402285.813;93865.508;999.45;0.35
402305.531;93860.156;999.5;0.26
402305.531;93860.156;998.5;0.24
402305.531;93860.156;997.4;0.64
402313.906;93858.891;998.5;0.27
402313.906;93858.891;997.55;0.43
402338.594;93849.594;997.4;0.67
402347.281;93845.352;997.5;0.26
402347.281;93845.352;996.7;0.36
402204.188;93931.391;999.5;0.32
402204.188;93931.391;998.5;1.49
402204.188;93931.391;997.55;3.64
402213.906;93934.031;999.5;0.44
402213.906;93934.031;998.5;2.6
402213.906;93934.031;997.5;0.8
402213.906;93934.031;996.75;2.34
402222.406;93934.898;999.5;0.27
402222.406;93934.898;998.5;0.63
402222.406;93934.898;997.5;1.93
402222.406;93934.898;996.55;0.32
402231.531;93937.531;999.5;0.29
402231.531;93937.531;998.5;0.36
402231.531;93937.531;997.5;1.25
402240.813;93939.961;999.5;0.49
402240.813;93939.961;998.6;0.48
402250.469;93937.844;999.5;0.68
402250.469;93937.844;998.5;0.24
402259.594;93937.109;999.5;0.27
402263.813;93935.992;999.5;0.42
402263.813;93935.992;998.5;0.68
402263.813;93935.992;997.3;0.81
402268.313;93937.398;999.5;0.47
402268.313;93937.398;998.65;1.37
402042.594;94102.688;999.5;0.27
402042.594;94102.688;998.55;0.56
402041.813;94097.258;999.45;0.34
402188.313;94854.18;999.5;0.04
402188.313;94854.18;998.75;0.04
401836.469;93392.438;998.5;0.23
401836.469;93392.438;997.5;0.53
401839.188;93402.922;999.5;0.25
401839.188;93402.922;998.35;0.8
401842.313;93410.922;999.4;0.5
402202;94746.828;999.5;0.07
402202;94746.828;998.6;0.12
402113.906;94696.672;997.75;0.33
402197.594;94700.5;998.6;0.75
402100.188;94546.828;998.5;0.09
402094.813;94555.406;998.7;0.07
402334.094;93930.227;998.45;0.83
402320.813;93932.438;998.35;0.28
402311.125;93932.133;999.5;0.32
402311.125;93932.133;998.5;0.34
402302.313;93934.289;999.5;0.8
402302.313;93934.289;998.5;1.79
402302.313;93934.289;997.7;0.56
402069.406;95873.867;998.5;0.2
402078.875;95872.492;999.5;0.12
402078.875;95872.492;998.5;0.24
402078.875;95872.492;997.5;0.37
402078.875;95872.492;996.6;0.29
402089.406;95869.078;998.5;0.31
402089.406;95869.078;997.5;0.24
402089.406;95869.078;996.5;0.15
402089.406;95869.078;995.4;0.1
402098.594;95860.641;997.5;0.19
402098.594;95860.641;996.7;0.22
402133.281;95822.352;999.5;0.14
402133.281;95822.352;998.5;0.12
402133.281;95822.352;997.75;0.1
402275.813;95759.492;998.5;0.11
402285.188;95752.82;998.5;0.12
402186.813;95864.711;998.5;0.2
402186.813;95864.711;997.5;0.39
402221.594;95866.188;997.5;0.17
402318.313;93296.953;999.5;2.88
402318.313;93296.953;998.5;14.77
402318.313;93296.953;997.5;9.06
402238.594;96142.109;999.5;1.59
402238.594;96142.109;998.5;2.04
402238.594;96142.109;997.5;2.97
402238.594;96142.109;996.5;2.22
402238.594;96142.109;995.5;0.32
402258.313;96249.25;999.5;0.5
402258.313;96249.25;998.5;0.63
402251.813;96249.523;999.5;0.49
402251.813;96249.523;998.5;0.52
402251.813;96249.523;997.55;0.63
402242.406;96234.813;999.5;0.46
402242.406;96234.813;998.5;0.63
402242.406;96234.813;997.5;0.73
402242.406;96234.813;996.65;0.84
402225.594;96225.656;999.5;0.29
402225.594;96225.656;998.5;0.34
402091.688;94053.25;999.5;0.68
402091.688;94053.25;998.5;1.49
402091.688;94053.25;997.5;2.1
402091.688;94053.25;996.7;2.55
402111.906;94046.891;999.5;0.51
402111.906;94046.891;998.5;0.93
402111.906;94046.891;997.5;1.05
402111.906;94046.891;996.5;0.63
402111.906;94046.891;995.5;0.52
402133.125;94040.539;999.5;0.78
402133.125;94040.539;998.5;0.65
402133.125;94040.539;997.5;0.68
402133.125;94040.539;996.5;0.6
402065.813;93948.953;999.5;0.51
402065.813;93948.953;998.5;0.56
402090.406;93934.07;999.5;0.46
402090.406;93934.07;998.5;2.12
402097.531;93950.773;999.5;0.39
402129.188;93937.211;999.5;0.52
402129.188;93937.211;998.5;1.11
402129.188;93937.211;997.5;1.31
402129.188;93937.211;996.65;1.21
402042.719;93892.109;999.5;0.38
402042.719;93892.109;998.5;0.6
402042.719;93892.109;997.5;1
402035.406;93882.453;999.5;0.44
402035.406;93882.453;998.5;0.83
402035.406;93882.453;997.5;0.81
402035.406;93882.453;996.7;0.86
402030.719;93869.133;999.5;0.42
402030.719;93869.133;998.5;0.72
402030.719;93869.133;997.5;1.35
402030.719;93869.133;996.4;1.95
402122.938;93417.969;999.74;2.03
402126.031;93414.164;998.998;0.26
402072;93580.609;999.5;0.28
402072;93580.609;998.5;0.27
402034.781;93496.242;999.513;0.32
402036.5;93491.586;999.653;0.52
402036.438;93491.539;998.958;0.18
402042.281;93418.578;998.652;0.26
402076.406;93569.461;999.5;0.25
402076.406;93569.461;998.5;0.61
401973.938;93615.164;999.706;0.36
402075.813;93555.883;998.5;0.27
401864.938;93700.375;999.775;0.28
401864.625;93700.32;999.324;0.19
402123.188;94224;998.5;0.27
401864.438;93695.352;999.715;0.25
401864.25;93695.336;999.144;0.41
401863.469;93691.844;999.762;0.29
401863.188;93691.797;999.286;0.29
401860.813;93743.664;999.603;0.32
401858.156;93739.594;999.772;0.61
401857.938;93739.633;999.315;0.56
401857.75;93739.664;998.858;0.54
401856.625;93735.438;999.718;0.88
401931.125;93803.398;999.648;0.35
401930.875;93803.352;998.943;0.33
401931.219;93798.242;999.757;0.26
401931.094;93798.219;999.224;0.31
401930.938;93798.188;998.642;0.2
401930.5;93793.273;999.206;0.4
401930.344;93793.266;998.74;0.33
401928.406;93747.766;999.709;0.26
401927.938;93743.055;999.016;0.56
402224.188;94422.297;999.5;0.45
402224.188;94422.297;998.5;0.89
402224.188;94422.297;997.5;1.33
402224.188;94422.297;996.5;1.39
402224.188;94422.297;995.5;0.96
402218.813;94412.5;999.5;0.49
402218.813;94412.5;998.5;0.9
402218.813;94412.5;997.5;1.22
402218.813;94412.5;996.5;0.52
402218.813;94412.5;995.5;0.61
402210.094;94404.273;998.5;0.33
402210.094;94404.273;997.5;0.46
402279;96354.492;999.5;0.27
402279;96354.492;998.5;1.06
402279;96354.492;997.5;1.4
402281.281;96359.82;999.5;1.28
402281.281;96359.82;998.5;3.08
402192.719;96132.672;999.5;0.39
402192.719;96132.672;998.5;0.5
402192.719;96132.672;997.5;0.63
402197.188;96138.609;999.5;0.5
402197.188;96138.609;998.5;0.69
402197.188;96138.609;997.5;0.71
402197.188;96138.609;996.3;0.69
402201.688;96146.719;999.5;0.5
402201.688;96146.719;998.5;0.67
402201.688;96146.719;997.5;0.68
402201.688;96146.719;996.5;0.61
402206.875;96153.297;999.5;0.51
402206.875;96153.297;998.5;0.75
402206.875;96153.297;997.3;0.78
402212;96158.492;999.5;0.5
402212;96158.492;998.35;0.67
402202;96163.898;999.5;0.54
402202;96163.898;998.3;0.67
402205.281;96172.578;999.5;0.41
402205.281;96172.578;998.5;0.5
402205.281;96172.578;997.5;0.6
402207.813;96183.797;999.5;0.63
402207.813;96183.797;998.35;0.5
402211.406;96196.352;999.5;0.87
402211.406;96196.352;998.5;0.9
402218.719;96208.453;999.5;0.33
402218.719;96208.453;998.5;0.3
402218.719;96208.453;997.75;0.22
402224.313;96217.023;999.5;0.24
402224.313;96217.023;998.5;0.48
402224.313;96217.023;997.75;0.74
402197;96180.797;999.5;0.41
402197;96180.797;998.75;0.3
402196.094;96190.617;999.5;0.41
402196.094;96190.617;998.75;0.39
402195.813;96200.313;999.5;0.59
402195.813;96200.313;998.5;0.77
402196.719;96209.141;999.5;0.58
402196.719;96209.141;998.5;0.19
402198.313;96215.289;998.5;0.24
402198.313;96215.289;997.5;0.08
402199.188;96221.977;999.5;0.4
402199.188;96221.977;998.5;0.41
402201.906;96228.188;999.5;0.24
402201.906;96228.188;998.5;0.44
402205.281;96235.063;999.5;0.24
402243.406;96089.938;999.5;1.56
402243.406;96089.938;998.75;1.92
402235.531;96075.719;999.5;1.97
402235.531;96075.719;998.75;3.24
402221.406;96068.641;999.5;1.97
402221.406;96068.641;998.75;2.55
402210.594;96043.992;999.5;1.14
402210.594;96043.992;998.75;1.78
402211.281;96035.742;999.5;0.79
402211.281;96035.742;998.5;1.24
402213.906;96028.227;999.5;1
402213.906;96028.227;998.5;1.39
402216.094;96018.563;999.5;0.86
402216.094;96018.563;998.5;1.28
402175.531;96026.969;999.5;0.27
402175.531;96026.969;998.5;0.35
402174.813;96019.898;999.5;0.26
402174.813;96019.898;998.75;0.35
402256.594;96206.57;999.5;0.45
402256.594;96206.57;998.5;0.58
402240.875;96185.969;999.5;0.66
402240.875;96185.969;998.75;1.08
402238.094;96168.148;998.5;1.1
402298.094;96366.609;999.5;0.54
402298.094;96366.609;998.5;1.44
402285.688;96371;999.5;0.58
402285.688;96371;998.4;0.7
402242.094;96401.758;999.45;0.28
402265.906;96545.172;999.5;0.29
402265.906;96545.172;998.5;0.14
402265.906;96545.172;997.5;0.38
402265.906;96545.172;996.5;0.72
402276.406;96546.078;999.5;0.32
402276.406;96546.078;998.5;0.16
402276.406;96546.078;997.5;0.55
402283;96549.773;998.5;0.13
402292;96548.727;998.3;0.14
402302.406;96546.133;998.5;0.27
402302.406;96546.133;997.5;3.39
402318;96547.469;999.5;0.37
402318;96547.469;998.5;0.47
402318;96547.469;997.5;0.77
402253.813;96764.211;998.7;0.15
402263.813;96765.492;999.5;0.33
402263.813;96765.492;998.5;0.5
402271.531;96767.258;999.5;0.29
402271.531;96767.258;998.5;0.42
402271.531;96767.258;997.75;0.29
402278.469;96770.758;998.5;0.8
402231.531;96879.688;997.7;1.91
402228;96886.609;998.55;3.41
402238.094;96980.242;999.5;0.5
402238.094;96980.242;998.5;0.38
402186.594;96995.352;999.5;0.45
402186.594;96995.352;998.5;0.5
402190.188;96986.047;999.5;0.24
402190.188;96986.047;998.5;1.2
402194.875;96975.789;999.5;0.69
